epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,21800.9,1.81152,1.80275,1.83711,0.5729,0.41058,0.44334,0.22082,1.89705,1.78107,1.95802,0.000990365,0.000990365,0.000990365
43,22316.8,1.79621,1.79404,1.8338,0.56176,0.44282,0.45528,0.22626,1.88485,1.77204,1.92468,0.000973861,0.000973861,0.000973861
44,22836.5,1.78976,1.77756,1.82155,0.56501,0.41116,0.44288,0.21711,1.94994,1.7874,2.00411,0.000957358,0.000957358,0.000957358
45,23352.1,1.77906,1.75703,1.8107,0.57949,0.4301,0.45697,0.22853,1.88314,1.74191,1.93829,0.000940855,0.000940855,0.000940855
46,23867.2,1.7624,1.7514,1.80906,0.61229,0.42703,0.46671,0.23677,1.88131,1.71859,1.93391,0.000924352,0.000924352,0.000924352
47,24385.2,1.76026,1.7443,1.8018,0.58412,0.42757,0.46597,0.23288,1.8867,1.72407,1.92035,0.000907848,0.000907848,0.000907848
48,24904.3,1.77641,1.73713,1.80192,0.59139,0.43384,0.464,0.23279,1.89983,1.72532,1.93543,0.000891345,0.000891345,0.000891345
49,25421.9,1.76732,1.73278,1.80018,0.58624,0.43107,0.46988,0.23656,1.87675,1.72296,1.93783,0.000874842,0.000874842,0.000874842
50,25940.6,1.74896,1.72524,1.79481,0.61687,0.42006,0.47497,0.24084,1.88581,1.69507,1.92973,0.000858338,0.000858338,0.000858338
51,26455.4,1.7572,1.70816,1.7975,0.59118,0.43178,0.46615,0.23264,1.88503,1.72129,1.94417,0.000841835,0.000841835,0.000841835
52,26978.7,1.76139,1.71003,1.78935,0.59763,0.44207,0.47673,0.24098,1.88231,1.70312,1.91469,0.000825332,0.000825332,0.000825332
53,27523.7,1.75961,1.72715,1.79316,0.58617,0.42779,0.45994,0.22987,1.87081,1.74675,1.91338,0.000808828,0.000808828,0.000808828
54,28054.5,1.72405,1.69558,1.77815,0.61593,0.4369,0.48261,0.24585,1.8536,1.68489,1.88902,0.000792325,0.000792325,0.000792325
55,28572.8,1.73073,1.68935,1.77349,0.62662,0.43816,0.48968,0.25107,1.8494,1.67754,1.9043,0.000775822,0.000775822,0.000775822
56,29090.4,1.72275,1.68172,1.76547,0.63228,0.44997,0.49577,0.25426,1.83795,1.65112,1.8926,0.000759318,0.000759318,0.000759318
57,29608.3,1.71943,1.66983,1.7591,0.63291,0.43719,0.48741,0.24689,1.87658,1.68102,1.91604,0.000742815,0.000742815,0.000742815
58,30125.3,1.71307,1.68928,1.76079,0.61605,0.44837,0.49725,0.2573,1.82955,1.6399,1.87207,0.000726312,0.000726312,0.000726312
59,30645.2,1.70263,1.6549,1.76413,0.61384,0.4613,0.49627,0.2562,1.83153,1.70999,1.87358,0.000709809,0.000709809,0.000709809
60,31165.2,1.71508,1.65621,1.74622,0.62213,0.44432,0.4927,0.2527,1.8316,1.65962,1.88311,0.000693305,0.000693305,0.000693305
61,31688.2,1.70216,1.63792,1.73636,0.62091,0.4553,0.49505,0.25707,1.83843,1.63636,1.88937,0.000676802,0.000676802,0.000676802
62,32206.9,1.70891,1.63806,1.73646,0.62773,0.45535,0.49849,0.25385,1.83406,1.63559,1.87118,0.000660299,0.000660299,0.000660299
63,32724.6,1.68281,1.63076,1.74107,0.63074,0.45117,0.49842,0.25681,1.83294,1.64935,1.86627,0.000643795,0.000643795,0.000643795
64,33242.3,1.68643,1.63281,1.74051,0.63561,0.45548,0.50097,0.25382,1.86406,1.63865,1.87534,0.000627292,0.000627292,0.000627292
65,33762.1,1.70125,1.6193,1.73757,0.6323,0.44804,0.4938,0.25443,1.83875,1.65003,1.88364,0.000610789,0.000610789,0.000610789
66,34281.1,1.68681,1.61538,1.73363,0.62801,0.45338,0.50102,0.26148,1.82882,1.62362,1.87328,0.000594286,0.000594286,0.000594286
67,34799.3,1.66727,1.60875,1.72679,0.63729,0.45953,0.50659,0.26399,1.82867,1.60613,1.86756,0.000577782,0.000577782,0.000577782
68,35317.7,1.66621,1.58655,1.71482,0.63642,0.46466,0.50964,0.26656,1.80502,1.61637,1.85226,0.000561279,0.000561279,0.000561279
