epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12335.2,1.24577,0.63345,1.14137,0.90432,0.85258,0.93265,0.6137,1.20214,0.59892,1.18698,0.0011882,0.0011882,0.0011882
43,12626,1.22568,0.62234,1.12929,0.90763,0.84516,0.9288,0.60864,1.24867,0.63495,1.19767,0.0011684,0.0011684,0.0011684
44,12917.9,1.2142,0.62352,1.13226,0.89169,0.85315,0.92537,0.5918,1.24796,0.63029,1.21044,0.0011486,0.0011486,0.0011486
45,13211.3,1.21433,0.61257,1.13075,0.90374,0.86665,0.94031,0.62473,1.22071,0.60419,1.1835,0.0011288,0.0011288,0.0011288
46,13503.5,1.21077,0.61241,1.11418,0.93003,0.83654,0.93689,0.60155,1.29615,0.61648,1.22127,0.001109,0.001109,0.001109
47,13793,1.21688,0.61612,1.12292,0.90286,0.87972,0.93441,0.62563,1.21555,0.59009,1.1829,0.0010892,0.0010892,0.0010892
48,14086.3,1.18652,0.59979,1.12149,0.90516,0.86713,0.94067,0.63682,1.15228,0.58023,1.16761,0.0010694,0.0010694,0.0010694
49,14377.4,1.19389,0.59739,1.12233,0.89741,0.87762,0.93897,0.62224,1.24564,0.6228,1.2186,0.0010496,0.0010496,0.0010496
50,14667.9,1.19637,0.60593,1.12724,0.90325,0.86182,0.94351,0.62664,1.18906,0.57543,1.19029,0.0010298,0.0010298,0.0010298
51,14960.4,1.1824,0.59946,1.1237,0.9044,0.85105,0.93337,0.61446,1.24545,0.61084,1.19613,0.00101,0.00101,0.00101
52,15253.4,1.18591,0.59491,1.10672,0.91093,0.85111,0.93547,0.62846,1.19621,0.58168,1.17517,0.0009902,0.0009902,0.0009902
53,15545.4,1.16998,0.59365,1.11558,0.90584,0.86789,0.94462,0.62331,1.23847,0.6065,1.19721,0.0009704,0.0009704,0.0009704
54,15835.2,1.16275,0.58641,1.11097,0.91139,0.87133,0.94075,0.63187,1.18927,0.57599,1.19163,0.0009506,0.0009506,0.0009506
55,16129.4,1.17667,0.58219,1.10571,0.90909,0.86707,0.94676,0.62189,1.25182,0.59305,1.20424,0.0009308,0.0009308,0.0009308
56,16419.6,1.16517,0.58141,1.11063,0.88933,0.87063,0.93729,0.62931,1.20265,0.59147,1.1793,0.000911,0.000911,0.000911
57,16713.7,1.14629,0.57235,1.0901,0.9047,0.86923,0.94346,0.64049,1.19485,0.56813,1.1823,0.0008912,0.0008912,0.0008912
58,17006.5,1.13844,0.57222,1.08743,0.9236,0.85664,0.9475,0.63849,1.20117,0.56925,1.18704,0.0008714,0.0008714,0.0008714
59,17298.9,1.1438,0.5739,1.09924,0.85536,0.90154,0.94249,0.63837,1.18502,0.59339,1.17505,0.0008516,0.0008516,0.0008516
60,17590.4,1.15354,0.57265,1.09935,0.89555,0.88137,0.94367,0.64217,1.18905,0.56664,1.17213,0.0008318,0.0008318,0.0008318
61,17887.6,1.14001,0.5679,1.09823,0.88417,0.89021,0.94457,0.62975,1.23462,0.58653,1.17906,0.000812,0.000812,0.000812
62,18178.1,1.13605,0.56434,1.08995,0.85437,0.91329,0.94726,0.63121,1.23951,0.57747,1.18638,0.0007922,0.0007922,0.0007922
63,18470.5,1.12992,0.56483,1.08756,0.89327,0.87343,0.94224,0.64453,1.16536,0.56834,1.16895,0.0007724,0.0007724,0.0007724
64,18764.2,1.11564,0.55337,1.08996,0.85873,0.90629,0.94187,0.64674,1.16907,0.55812,1.16146,0.0007526,0.0007526,0.0007526
65,19058.9,1.11664,0.55786,1.08226,0.87676,0.87902,0.9422,0.6315,1.22598,0.58575,1.21129,0.0007328,0.0007328,0.0007328
66,19350.8,1.13728,0.56279,1.08187,0.91259,0.85424,0.94107,0.63513,1.19203,0.56082,1.18191,0.000713,0.000713,0.000713
67,19643.6,1.12547,0.55864,1.09182,0.89333,0.88392,0.94951,0.64426,1.19521,0.5527,1.17862,0.0006932,0.0006932,0.0006932
68,19937.8,1.1112,0.55536,1.0862,0.9108,0.85688,0.94372,0.64018,1.18543,0.57864,1.17825,0.0006734,0.0006734,0.0006734
69,20232.4,1.12677,0.55299,1.09685,0.87427,0.90559,0.94908,0.64553,1.18254,0.56066,1.16074,0.0006536,0.0006536,0.0006536
